APT_Group,Technique,Year
Threat Group-3390,LSA Secrets,2017
UNC3886,Non-Application Layer Protocol,2025
APT3,Accessibility Features,2018
CURIUM,Web Services,2024
Medusa Group,Software Deployment Tools,2025
Mustang Panda,Malware,2025
INC Ransom,Financial Theft,2024
Ember Bear,Log Enumeration,2024
Chimera,Web Protocols,2021
Mustang Panda,Upload Malware,2022
APT39,Match Legitimate Resource Name or Location,2020
The White Company,Spearphishing Attachment,2019
Ember Bear,Video Capture,2024
Inception,Web Protocols,2020
APT37,Data from Local System,2018
BlackByte,Domain Trust Discovery,2024
FIN13,Security Account Manager,2023
DarkVishnya,Network Service Discovery,2020
TA2541,Spearphishing Attachment,2023
TA551,Regsvr32,2021
Volt Typhoon,Modify Registry,2024
Ember Bear,LSA Secrets,2024
Magic Hound,Web Protocols,2018
FIN6,Remote System Discovery,2017
Kimsuky,Malicious File,2020
Kimsuky,Web Services,2022
Winter Vivern,Spearphishing Attachment,2024
Storm-1811,Domain Account,2025
Leviathan,Archive Collected Data,2021
Storm-0501,Cloud Infrastructure Discovery,2025
APT39,Software Packing,2019
FIN7,Windows Management Instrumentation,2021
The White Company,Exploitation for Client Execution,2019
Transparent Tribe,Match Legitimate Resource Name or Location,2021
HEXANE,Credentials from Password Stores,2022
Elderwood,Spearphishing Attachment,2018
APT18,Windows Command Shell,2019
ToddyCat,Domain Accounts,2024
Magic Hound,Tool,2021
Sandworm Team,Inhibit System Recovery,2024
Magic Hound,Disable or Modify Tools,2022
FIN8,Archive via Utility,2018
CURIUM,System Information Discovery,2024
Rocke,Ingress Tool Transfer,2020
Contagious Interview,Code Repositories,2025
APT33,Scheduled Task,2019
Medusa Group,Inhibit System Recovery,2025
Lazarus Group,Rename Legitimate Utilities,2022
Malteiro,Dynamic-link Library Injection,2024
APT38,Native API,2021
APT32,Service Execution,2019
Storm-0501,Cloud Accounts,2025
Velvet Ant,Disable or Modify System Firewall,2025
Kimsuky,Local Account,2022
PLATINUM,Malicious File,2018
Scattered Spider,Multi-Factor Authentication Request Generation,2023
APT32,File Deletion,2019
Elderwood,Drive-by Compromise,2018
APT41,DNS,2019
Volt Typhoon,Network Topology,2024
BackdoorDiplomacy,Non-Application Layer Protocol,2021
APT29,Mark-of-the-Web Bypass,2022
Akira,Remote Desktop Protocol,2024
Medusa Group,Command Obfuscation,2025
HEXANE,Windows Management Instrumentation Event Subscription,2024
Ember Bear,Non-Application Layer Protocol,2024
Lazarus Group,Web Services,2021
FIN8,Modify Registry,2018
Moonstone Sleet,Browser Information Discovery,2024
menuPass,Rename Legitimate Utilities,2020
menuPass,Spearphishing Attachment,2018
Kimsuky,Ingress Tool Transfer,2020
Sidewinder,System Time Discovery,2021
Aquatic Panda,File Deletion,2022
Scattered Spider,Remote Desktop Protocol,2025
LazyScripter,Upload Malware,2022
ToddyCat,Scheduled Task,2024
Fox Kitten,VNC,2020
GALLIUM,Security Account Manager,2019
APT41,Pass the Hash,2024
APT39,Local Data Staging,2020
Turla,Windows Credential Manager,2019
FIN7,VNC,2021
Ke3chang,Deobfuscate/Decode Files or Information,2022
Kimsuky,Junk Code Insertion,2025
Dragonfly,Virtual Private Server,2021
UNC3886,Password Managers,2025
Magic Hound,LSASS Memory,2018
HEXANE,Email Addresses,2022
Kimsuky,Compression,2026
Blue Mockingbird,Exploit Public-Facing Application,2020
APT41,File and Directory Discovery,2020
APT41,Vulnerability Scanning,2024
Storm-1811,Domains,2025
UNC3886,Indicator Removal from Tools,2025
MuddyWater,Office Template Macros,2020
Kimsuky,Search Engines,2022
Fox Kitten,PowerShell,2020
RedCurl,Archive via Utility,2024
APT38,Rename Legitimate Utilities,2025
Ke3chang,Remote Email Collection,2018
OilRig,Local Account,2020
Windshift,Masquerading,2020
APT29,Security Account Manager,2023
APT32,Mshta,2019
Medusa Group,Windows Command Shell,2025
Lazarus Group,Application Window Discovery,2017
Inception,Visual Basic,2020
Fox Kitten,Encrypted/Encoded File,2020
Dark Caracal,Malicious File,2018
MuddyWater,Tool,2021
OilRig,Clipboard Data,2024
IndigoZebra,Email Accounts,2021
MuddyWater,Steganography,2020
Rancor,Malicious File,2018
Sowbug,Data from Network Shared Drive,2018
Patchwork,DLL,2018
Poseidon Group,System Service Discovery,2017
BlackByte,Service Execution,2024
Sea Turtle,Domains,2024
MirrorFace,System Network Configuration Discovery,2026
TA551,Malicious File,2021
UNC3886,Rootkit,2025
UNC3886,Clear Network Connection History and Configurations,2025
Blue Mockingbird,Windows Management Instrumentation Event Subscription,2020
Contagious Interview,Establish Accounts,2025
Aquatic Panda,LSASS Memory,2022
Mustard Tempest,Malvertising,2023
APT12,Exploitation for Client Execution,2019
Kimsuky,Browser Session Hijacking,2025
Ke3chang,Archive via Utility,2017
FIN13,Network Topology,2023
Inception,Mshta,2020
Confucius,Exploitation for Client Execution,2021
Gamaredon Group,Internal Defacement,2022
FIN13,Make and Impersonate Token,2023
Agrius,Masquerading,2024
Medusa Group,Windows Management Instrumentation,2025
Kimsuky,Clipboard Data,2026
Sandworm Team,Non-Standard Port,2020
APT39,Remote System Discovery,2019
HAFNIUM,Email Addresses,2021
Gorgon Group,Spearphishing Attachment,2018
TA578,Search Victim-Owned Websites,2024
Turla,Windows Management Instrumentation Event Subscription,2019
Aquatic Panda,Remote Services,2024
APT37,Exploitation for Client Execution,2018
Daggerfly,Malicious Link,2024
TA551,Command Obfuscation,2021
Wizard Spider,Windows Remote Management,2020
UNC3886,Python,2025
Aquatic Panda,Unix Shell,2024
HEXANE,Visual Basic,2022
FIN6,Data from Local System,2020
Water Galura,Financial Theft,2025
BlackByte,Domain Account,2024
LAPSUS$,Chat Messages,2023
Contagious Interview,Upload Malware,2025
MuddyWater,Registry Run Keys / Startup Folder,2018
APT41,Remote Desktop Protocol,2019
Ke3chang,Local Account,2020
GALLIUM,Windows Command Shell,2019
Threat Group-3390,Domains,2023
FIN5,External Proxy,2018
VOID MANTICORE,Windows Host Firewall,2026
Ember Bear,Remote Services,2024
APT28,Component Object Model Hijacking,2017
Dragonfly,System Owner/User Discovery,2021
Volt Typhoon,Symmetric Cryptography,2023
HAFNIUM,Ingress Tool Transfer,2021
Kimsuky,Local Accounts,2021
POLONIUM,Tool,2022
Orangeworm,Web Protocols,2018
Mustang Panda,Domain Groups,2025
Fox Kitten,Command Obfuscation,2023
APT33,Standard Encoding,2019
Contagious Interview,Financial Theft,2025
APT32,Process Injection,2020
APT5,Security Account Manager,2024
Gorgon Group,Deobfuscate/Decode Files or Information,2018
Lazarus Group,Archive Collected Data,2017
Wizard Spider,Data Staged,2020
Ke3chang,SMB/Windows Admin Shares,2017
Ember Bear,PowerShell,2024
Wizard Spider,Windows Service,2020
ZIRCONIUM,Masquerade Task or Service,2021
INC Ransom,Ingress Tool Transfer,2024
Volt Typhoon,Domain Groups,2023
APT28,Archive Collected Data,2018
FIN8,System Owner/User Discovery,2023
APT29,External Proxy,2024
APT29,Spearphishing via Service,2021
MirrorFace,Malware,2026
FIN6,Exploitation for Privilege Escalation,2017
APT41,Environmental Keying,2020
FIN7,Kerberoasting,2021
Turla,Windows Command Shell,2019
Higaisa,Scheduled Transfer,2021
APT32,Masquerading,2020
Tropic Trooper,DLL,2019
Contagious Interview,Symmetric Cryptography,2025
FIN7,Hidden Window,2025
TeamTNT,Compute Hijacking,2021
Lotus Blossom,Access Token Manipulation,2025
FIN13,Data from Local System,2023
Chimera,Browser Information Discovery,2021
Rocke,Deobfuscate/Decode Files or Information,2020
BlackByte,Inhibit System Recovery,2024
Saint Bear,Windows Command Shell,2024
INC Ransom,Windows Command Shell,2024
Volt Typhoon,Virtual Private Server,2024
FIN7,Bidirectional Communication,2018
Turla,Archive via Utility,2019
Sandworm Team,System Owner/User Discovery,2020
APT32,Pass the Ticket,2019
Mustang Panda,Debugger Evasion,2025
Threat Group-1314,Software Deployment Tools,2017
Star Blizzard,JavaScript,2024
APT37,System Shutdown/Reboot,2019
Aquatic Panda,Disable or Modify Tools,2022
Storm-1811,Windows Command Shell,2025
Elderwood,Ingress Tool Transfer,2018
Sidewinder,System Information Discovery,2021
APT3,LSASS Memory,2017
Chimera,Ingress Tool Transfer,2020
Ke3chang,Cloud Accounts,2022
TA505,Code Signing,2019
Storm-0501,Delete Cloud Instance,2025
Lazarus Group,System Owner/User Discovery,2017
DarkVishnya,Hardware Additions,2020
Agrius,Domain Accounts,2024
Play,File and Directory Discovery,2024
Aoqin Dragon,Lateral Tool Transfer,2022
menuPass,Data from Network Shared Drive,2017
BITTER,Upload Malware,2022
Magic Hound,Exploit Public-Facing Application,2022
LuminousMoth,DLL,2023
Sowbug,Archive via Utility,2018
SideCopy,DLL,2022
Nomadic Octopus,Malicious File,2021
Tropic Trooper,File Deletion,2020
Cinnamon Tempest,Financial Theft,2023
Leviathan,Vulnerability Scanning,2025
FIN13,Pass the Hash,2023
Contagious Interview,Exfiltration Over Web Service,2025
APT29,PowerShell,2017
Salt Typhoon,Create Account,2025
APT41,Query Registry,2024
Wizard Spider,Security Software Discovery,2020
Dragonfly,Network Share Discovery,2021
APT29,Trusted Relationship,2021
Sowbug,Windows Command Shell,2018
TeamTNT,Rootkit,2021
Andariel,Data from Local System,2021
Scattered Spider,Data from Cloud Storage,2024
Lazarus Group,Email Addresses,2022
LuminousMoth,Digital Certificates,2023
TeamTNT,Exfiltration Over Alternative Protocol,2022
Machete,Windows Command Shell,2020
Volt Typhoon,Lateral Tool Transfer,2023
Lotus Blossom,File and Directory Discovery,2025
Wizard Spider,Domain Accounts,2020
Rocke,System Information Discovery,2020
MuddyWater,File and Directory Discovery,2019
APT33,Tool,2021
Windigo,Command and Scripting Interpreter,2021
Dragonfly,Additional Local or Domain Groups,2021
Aoqin Dragon,Malware,2022
EXOTIC LILY,Spearphishing Link,2022
Leviathan,Visual Basic,2018
Molerats,PowerShell,2020
APT39,Registry Run Keys / Startup Folder,2019
APT-C-36,Visual Basic,2020
Mustang Panda,Indicator Removal,2025
RedEcho,Web Protocols,2024
FIN7,Windows Command Shell,2020
CURIUM,Spearphishing Attachment,2024
Carbanak,Tool,2021
APT37,Process Injection,2018
Rocke,Security Software Discovery,2020
Patchwork,Scheduled Task,2018
TA505,Dynamic Data Exchange,2019
Chimera,Credential Stuffing,2021
Threat Group-3390,Windows Remote Management,2017
Wizard Spider,Inhibit System Recovery,2023
APT29,RC Scripts,2023
APT28,OS Credential Dumping,2020
Winnti Group,Code Signing,2017
APT29,Binary Padding,2021
APT32,Rundll32,2020
RedCurl,PowerShell,2024
APT28,File and Directory Discovery,2017
Axiom,Exploit Public-Facing Application,2018
Ember Bear,Masquerading,2024
HEXANE,Brute Force,2022
Play,LSASS Memory,2024
MirrorFace,Archive via Utility,2026
Dragonfly,Scheduled Task,2021
Naikon,Add-ins,2020
Scattered Spider,Phishing for Information,2023
Storm-1811,Input Capture,2025
Threat Group-3390,Upload Tool,2021
Axiom,Steganography,2020
Confucius,Mshta,2022
Naikon,Masquerade Task or Service,2021
Cinnamon Tempest,DLL,2023
Magic Hound,Masquerade Account Name,2024
Silence,File Deletion,2019
Poseidon Group,System Network Connections Discovery,2017
Tropic Trooper,Process Discovery,2019
APT41,System Owner/User Discovery,2019
Kimsuky,Archive via Utility,2022
LAPSUS$,Email Forwarding Rule,2022
Sidewinder,DLL,2021
Storm-1811,Data Encrypted for Impact,2025
OilRig,System Service Discovery,2018
BlackByte,Exploitation for Privilege Escalation,2024
APT38,Modify Registry,2019
Lazarus Group,Server,2022
EXOTIC LILY,Malicious Link,2022
APT-C-36,Written Content,2026
Turla,Python,2021
APT32,Command Obfuscation,2023
Moonstone Sleet,Service Execution,2024
Volt Typhoon,Domain Accounts,2023
Darkhotel,System Checks,2021
BackdoorDiplomacy,Match Legitimate Resource Name or Location,2021
Ferocious Kitten,Match Legitimate Resource Name or Location,2021
Andariel,System Network Connections Discovery,2021
OilRig,Visual Basic,2021
Inception,PowerShell,2020
Naikon,Security Software Discovery,2017
VOID MANTICORE,Malicious File,2026
APT-C-36,Cloud Accounts,2026
Chimera,Password Policy Discovery,2021
Moonstone Sleet,Email Accounts,2024
Cobalt Group,Malicious File,2018
Volt Typhoon,Local Account,2024
BRONZE BUTLER,Domain Account,2018
Mustang Panda,Software Discovery,2021
TeamTNT,Container Administration Command,2021
APT29,Digital Certificates,2020
RedCurl,Trusted Relationship,2024
CopyKittens,Archive via Custom Method,2018
APT5,Botnet,2025
Equation,Hidden File System,2020
Fox Kitten,Messaging Applications,2020
OilRig,Brute Force,2018
Magic Hound,Spearphishing Link,2021
VOID MANTICORE,Registry Run Keys / Startup Folder,2026
Sandworm Team,Search Victim-Owned Websites,2020
Kimsuky,Code Signing Certificates,2025
Threat Group-3390,Process Hollowing,2018
APT38,Runtime Data Manipulation,2019
Gamaredon Group,Disable or Modify Tools,2020
TA2541,Disable or Modify Tools,2023
Winter Vivern,Web Services,2024
APT37,Spearphishing Attachment,2018
HAFNIUM,Data from Cloud Storage,2025
Saint Bear,PowerShell,2024
Transparent Tribe,Malicious File,2021
Ke3chang,Windows Service,2018
Sandworm Team,Email Addresses,2020
Axiom,Archive Collected Data,2022
VOID MANTICORE,Data Destruction,2026
PLATINUM,Masquerading,2019
Volt Typhoon,Unix Shell,2024
UNC3886,Disable or Modify Tools,2025
Windigo,System Information Discovery,2021
Sea Turtle,Remote Data Staging,2025
Silence,Remote Desktop Protocol,2020
ZIRCONIUM,Spearphishing Link,2021
admin@338,Local Account,2017
BRONZE BUTLER,At,2018
Mustang Panda,Protocol or Service Impersonation,2025
Dragonfly,Hidden Users,2021
ZIRCONIUM,Credentials from Web Browsers,2021
MuddyWater,Ingress Tool Transfer,2019
Nomadic Octopus,Masquerading,2021
APT3,Non-Application Layer Protocol,2017
Threat Group-3390,Exploitation for Client Execution,2019
Mustang Panda,DLL,2021
BRONZE BUTLER,Remote System Discovery,2018
Turla,Disable or Modify Tools,2019
PLATINUM,Ingress Tool Transfer,2018
ToddyCat,Spearphishing via Service,2024
FIN7,Rundll32,2023
APT39,Malicious File,2019
Volt Typhoon,Archive via Utility,2023
Daggerfly,System Information Discovery,2024
APT3,Scheduled Task,2017
APT39,Spearphishing Attachment,2019
Cobalt Group,Compromise Software Supply Chain,2020
FIN7,Domain Account,2025
APT37,System Owner/User Discovery,2018
BRONZE BUTLER,Binary Padding,2018
Indrik Spider,Malware,2023
HAFNIUM,Application Access Token,2025
UNC3886,Search Threat Vendor Data,2025
RedCurl,Registry Run Keys / Startup Folder,2024
LuminousMoth,Data from Local System,2023
FIN7,Dynamic Data Exchange,2018
FIN8,Exfiltration Over Unencrypted Non-C2 Protocol,2018
menuPass,Domain Account,2017
TA505,Spearphishing Link,2019
UNC3886,RC Scripts,2025
FIN13,Keylogging,2023
HAFNIUM,Exfiltration to Cloud Storage,2021
RedCurl,Automated Collection,2024
Kimsuky,Process Injection,2019
Threat Group-3390,Web Shell,2019
Lazarus Group,Indicator Removal,2022
menuPass,PowerShell,2017
APT39,Ingress Tool Transfer,2020
Whitefly,Match Legitimate Resource Name or Location,2020
OilRig,Spearphishing via Service,2019
APT5,Clear Command History,2024
Windshift,Software Discovery,2021
APT33,Symmetric Cryptography,2019
BlackTech,Exploit Public-Facing Application,2020
BlackByte,Upload Malware,2024
APT42,Virtual Private Server,2025
RedCurl,Transfer Data to Cloud Account,2024
Lazarus Group,Disk Content Wipe,2019
Kimsuky,Malicious Copy and Paste,2026
APT12,Malicious File,2019
Threat Group-3390,Drive-by Compromise,2018
Ke3chang,Tool,2021
BRONZE BUTLER,Steganography,2020
Scattered Spider,Create Account,2024
Chimera,Domain Account,2020
BRONZE BUTLER,Exploitation for Client Execution,2018
Storm-1811,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,2025
Earth Lusca,Deobfuscate/Decode Files or Information,2022
MuddyWater,Disable or Modify Tools,2021
Play,Exploit Public-Facing Application,2024
admin@338,Windows Command Shell,2017
Turla,File/Path Exclusions,2024
APT-C-36,Search Open Websites/Domains,2026
GOLD SOUTHFIELD,PowerShell,2020
HAFNIUM,Automated Collection,2025
Volt Typhoon,Network Service Discovery,2024
GALLIUM,System Owner/User Discovery,2019
FIN7,PowerShell,2017
BlackByte,Execution Guardrails,2024
LazyScripter,Domains,2022
RedCurl,Network Service Discovery,2024
Volt Typhoon,Direct Volume Access,2024
Aquatic Panda,Log Enumeration,2024
Volt Typhoon,File and Directory Discovery,2024
FIN7,User Activity Based Checks,2019
Aquatic Panda,Masquerade Task or Service,2024
APT32,Windows Management Instrumentation,2019
MuddyWater,Archive via Utility,2019
FIN8,Web Protocols,2021
Moses Staff,Ingress Tool Transfer,2022
Wizard Spider,LSASS Memory,2023
Sidewinder,JavaScript,2021
Indrik Spider,Ingress Tool Transfer,2021
VOID MANTICORE,Exploit Public-Facing Application,2026
APT32,Spearphishing Attachment,2018
APT29,Web Shell,2021
CURIUM,Spearphishing Link,2024
FIN7,Process Discovery,2025
Akira,PowerShell,2024
APT41,System Information Discovery,2024
Sandworm Team,Proxy,2020
FIN7,Drive-by Target,2023
Mustard Tempest,Ingress Tool Transfer,2023
Cobalt Group,Registry Run Keys / Startup Folder,2018
Play,Valid Accounts,2024
Volt Typhoon,Internet Connection Discovery,2024
FIN5,Valid Accounts,2018
BITTER,Encrypted/Encoded File,2022
TA2541,Software Packing,2023
TA551,Ingress Tool Transfer,2021
Leviathan,Spearphishing Attachment,2018
Mustang Panda,Archive via Utility,2021
Tonto Team,Web Shell,2021
BlackByte,Archive Collected Data,2024
Kimsuky,Screen Capture,2025
Mustang Panda,Dynamic API Resolution,2025
Scattered Spider,Valid Accounts,2025
Agrius,Windows Service,2024
APT5,PowerShell,2024
Cobalt Group,Network Service Discovery,2018
APT41,LSASS Memory,2019
Sandworm Team,Supply Chain Compromise,2024
Patchwork,System Information Discovery,2017
Leviathan,Code Signing,2018
MirrorFace,Windows Management Instrumentation,2026
Dragonfly,Spearphishing Link,2021
APT32,Software Deployment Tools,2017
POLONIUM,Proxy,2022
Fox Kitten,Masquerade Task or Service,2020
APT17,Establish Accounts,2020
Gallmaker,Dynamic Data Exchange,2019
BlackByte,Web Shell,2024
Chimera,Windows Management Instrumentation,2020
Storm-1811,Local Data Staging,2025
FIN6,Command Obfuscation,2020
POLONIUM,Valid Accounts,2022
Threat Group-3390,Archive via Library,2017
Tropic Trooper,System Owner/User Discovery,2019
OilRig,System Owner/User Discovery,2018
Volt Typhoon,Network Security Appliances,2024
APT29,Multi-hop Proxy,2018
menuPass,LSA Secrets,2020
Leafminer,LSASS Memory,2018
LAPSUS$,Data Destruction,2022
FIN13,Permission Groups Discovery,2023
MirrorFace,System Language Discovery,2026
HAFNIUM,Non-Application Layer Protocol,2021
APT3,Rundll32,2018
APT5,Timestomp,2024
Gamaredon Group,PowerShell,2022
Earth Lusca,JavaScript,2022
Turla,Internet Connection Discovery,2021
Medusa Group,Data Encrypted for Impact,2025
Chimera,Windows Remote Management,2021
UNC3886,Exploits,2025
Molerats,Ingress Tool Transfer,2020
Volt Typhoon,LSASS Memory,2023
FIN6,Disable or Modify Tools,2020
INC Ransom,Transfer Data to Cloud Account,2024
Nomadic Octopus,Spearphishing Attachment,2021
Saint Bear,Encrypted/Encoded File,2024
RedCurl,Data from Local System,2024
APT29,Malicious Link,2021
APT38,Domains,2025
Patchwork,Modify Registry,2018
VOID MANTICORE,Web Services,2026
Molerats,Spearphishing Link,2020
APT1,Local Account,2019
Medusa Group,Device Driver Discovery,2025
APT5,Disable or Modify Tools,2024
Leafminer,Cached Domain Credentials,2020
TeamTNT,PowerShell,2021
Mustard Tempest,Drive-by Target,2024
Sandworm Team,Valid Accounts,2020
Kimsuky,Visual Basic,2020
Earth Lusca,Archive via Utility,2022
OilRig,Modify Registry,2024
Wizard Spider,Security Account Manager,2020
HAFNIUM,Local Accounts,2021
LuminousMoth,Link Target,2023
Leviathan,Server,2025
APT38,File and Directory Discovery,2021
Carbanak,Match Legitimate Resource Name or Location,2017
FIN6,PowerShell,2017
SideCopy,Spearphishing Attachment,2022
RedCurl,Rundll32,2024
APT5,Log Enumeration,2024
Sea Turtle,Prevent Command History Logging,2024
FIN7,Non-Standard Port,2020
IndigoZebra,Tool,2021
Cinnamon Tempest,Taint Shared Content,2023
APT33,Archive via Utility,2019
APT3,Windows Command Shell,2017
APT38,Deobfuscate/Decode Files or Information,2025
Gorgon Group,Portable Executable Injection,2018
APT-C-36,External Remote Services,2026
Metador,File Deletion,2023
Agrius,Password Spraying,2024
ToddyCat,Domain Groups,2024
APT28,Peripheral Device Discovery,2017
Deep Panda,SMB/Windows Admin Shares,2017
APT3,System Owner/User Discovery,2017
Tropic Trooper,Match Legitimate Resource Name or Location,2020
Turla,Server,2020
HAFNIUM,Internet Connection Discovery,2023
Leviathan,LSASS Memory,2020
APT38,Disk Structure Wipe,2019
menuPass,Windows Command Shell,2017
ZIRCONIUM,Software Packing,2021
TA505,PowerShell,2019
FIN8,Remote Data Staging,2018
LAPSUS$,Multi-Factor Authentication Interception,2022
APT38,Malicious Link,2025
BITTER,Web Protocols,2022
HAFNIUM,Process Discovery,2023
Cobalt Group,Ingress Tool Transfer,2018
Sidewinder,Automated Exfiltration,2021
Patchwork,Automated Collection,2018
Machete,Msiexec,2020
GALLIUM,Code Signing,2021
MuddyWater,Deobfuscate/Decode Files or Information,2018
Lazarus Group,System Shutdown/Reboot,2019
Kimsuky,Browser Information Discovery,2026
Akira,Exfiltration to Cloud Storage,2024
Velvet Ant,Data Encoding,2025
FIN6,Remote Data Staging,2020
FIN8,Malicious Link,2020
TA551,Mshta,2021
Ke3chang,Ingress Tool Transfer,2022
Wizard Spider,Windows Permissions,2020
LAPSUS$,Sharepoint,2022
Velvet Ant,Internal Proxy,2025
menuPass,Exploitation of Remote Services,2020
FIN13,Financial Theft,2023
Sea Turtle,External Remote Services,2024
Rocke,Registry Run Keys / Startup Folder,2020
Earth Lusca,Proxy,2022
Patchwork,Security Software Discovery,2017
Lazarus Group,Native API,2022
Deep Panda,Process Discovery,2017
Cobalt Group,Protocol Tunneling,2020
DarkVishnya,Network Sniffing,2020
Contagious Interview,Malicious Link,2025
FIN7,Domain Groups,2023
VOID MANTICORE,Web Service,2026
Transparent Tribe,Hidden Files and Directories,2021
APT29,Hide Infrastructure,2024
Mustang Panda,Protocol Tunneling,2025
APT-C-36,Ingress Tool Transfer,2020
ToddyCat,Windows Management Instrumentation,2024
RedCurl,Email Account,2024
Magic Hound,Additional Local or Domain Groups,2023
HAFNIUM,Archive via Utility,2021
BlackTech,Network Service Discovery,2022
Kimsuky,Gather Victim Org Information,2022
Malteiro,System Information Discovery,2024
Sea Turtle,Exploitation for Client Execution,2025
VOID MANTICORE,Remote Email Collection,2026
Naikon,Scheduled Task,2021
Silent Librarian,Search Victim-Owned Websites,2021
Machete,Match Legitimate Resource Name or Location,2020
Leafminer,Password Spraying,2018
Dragonfly,Command and Scripting Interpreter,2021
FIN6,Scheduled Task,2017
Storm-0501,System Language Discovery,2025
menuPass,Local Data Staging,2017
FIN7,System Information Discovery,2025
APT32,Masquerade Task or Service,2020
Leviathan,Malicious Link,2020
Indrik Spider,Match Legitimate Resource Name or Location,2021
Play,SMB/Windows Admin Shares,2024
APT19,Tool,2021
FIN7,Command and Scripting Interpreter,2018
APT39,OS Credential Dumping,2020
APT28,Data from Local System,2018
VOID MANTICORE,Disk Structure Wipe,2026
OilRig,System Checks,2021
Turla,Exfiltration to Cloud Storage,2019
SideCopy,Domains,2022
VOID MANTICORE,Disk Content Wipe,2026
Ember Bear,Remote System Discovery,2024
APT32,Encrypted/Encoded File,2017
Rocke,Remote System Discovery,2020
GCMAN,SSH,2017
Rocke,Web Service,2020
MirrorFace,Local Email Collection,2026
APT38,Msiexec,2025
Volt Typhoon,Botnet,2024
APT32,Scheduled Task,2017
Axiom,Data from Local System,2022
Kimsuky,Network Sniffing,2020
TA577,Embedded Payloads,2024
Earth Lusca,Match Legitimate Resource Name or Location,2022
APT41,Code Repositories,2024
Indrik Spider,SSH,2024
APT3,Exploitation for Client Execution,2021
APT28,Password Guessing,2020
Fox Kitten,Password Managers,2020
FIN6,Protocol Tunneling,2017
Kimsuky,Windows Service,2019
Gamaredon Group,Scheduled Task,2020
Lazarus Group,Standard Encoding,2018
Molerats,Malicious Link,2020
Ember Bear,Email Collection,2024
Contagious Interview,Gather Victim Identity Information,2025
Velvet Ant,Match Legitimate Resource Name or Location,2025
TeamTNT,Upload Malware,2021
APT3,Permission Groups Discovery,2018
Agrius,Automated Collection,2024
Turla,Create Process with Token,2019
Sandworm Team,SMB/Windows Admin Shares,2021
APT33,Exploitation for Client Execution,2019
Ajax Security Team,Ingress Tool Transfer,2021
Gamaredon Group,File and Directory Discovery,2020
OilRig,Peripheral Device Discovery,2021
HEXANE,Tool,2022
Tonto Team,Malicious File,2021
OilRig,Domain Account,2018
Silence,Screen Capture,2019
Kimsuky,Remote Desktop Protocol,2021
Mofang,Encrypted/Encoded File,2020
Darkhotel,Deobfuscate/Decode Files or Information,2019
Volt Typhoon,System Network Connections Discovery,2023
APT32,Hidden Window,2019
APT38,Stored Data Manipulation,2019
Sandworm Team,Exploit Public-Facing Application,2024
Cinnamon Tempest,Valid Accounts,2023
TeamTNT,Clear Linux or Mac System Logs,2021
Darkhotel,Encrypted/Encoded File,2019
FIN7,Scheduled Task,2017
FIN7,Remote Access Tools,2023
Dragonfly,Drive-by Compromise,2020
Leviathan,Social Media Accounts,2021
Storm-0501,Brute Force,2025
Gamaredon Group,Execution Guardrails,2024
GOLD SOUTHFIELD,External Remote Services,2020
TA2541,Domains,2023
Kimsuky,File and Directory Discovery,2019
APT29,Hybrid Identity,2022
APT41,Data Transfer Size Limits,2024
Scattered Spider,Ingress Tool Transfer,2025
Patchwork,Ingress Tool Transfer,2017
FIN13,Account Discovery,2023
FIN13,Default Accounts,2023
APT33,Credentials from Password Stores,2020
Scattered Spider,Protocol Tunneling,2025
Gorgon Group,Modify Registry,2018
TA2541,Process Hollowing,2023
Magic Hound,System Network Configuration Discovery,2018
Kimsuky,Obfuscated Files or Information,2020
Lazarus Group,Protocol or Service Impersonation,2020
Ke3chang,DNS,2020
APT5,Exploit Public-Facing Application,2024
SideCopy,Upload Malware,2022
Sandworm Team,Software,2020
MuddyWater,LSA Secrets,2020
OilRig,Process Discovery,2018
VOID MANTICORE,Cloud Administration Command,2026
TA505,Software Packing,2020
EXOTIC LILY,Upload Malware,2022
RedCurl,Scheduled Task,2024
UNC3886,Ignore Process Interrupts,2025
FIN4,Web Protocols,2019
LAPSUS$,Identify Roles,2022
Kimsuky,Spearphishing Link,2020
Storm-1811,Registry Run Keys / Startup Folder,2025
Kimsuky,Phishing,2025
Transparent Tribe,Malicious Link,2021
APT32,Local Account,2020
Wizard Spider,Process Injection,2023
APT41,Proxy,2019
Wizard Spider,Lateral Tool Transfer,2020
APT3,Data from Local System,2018
Wizard Spider,BITS Jobs,2023
Storm-0501,Vulnerabilities,2025
Mustang Panda,Spearphishing Link,2021
OilRig,Scheduled Task,2018
BlackByte,Virtual Private Server,2024
DarkVishnya,Brute Force,2020
Storm-0501,Digital Certificates,2025
Rancor,Ingress Tool Transfer,2018
Chimera,Password Spraying,2021
APT38,Windows Service,2021
Dragonfly,NTDS,2021
APT18,File and Directory Discovery,2019
Nomadic Octopus,Windows Command Shell,2021
Silent Librarian,Spearphishing Link,2021
Contagious Interview,Exfiltration Over C2 Channel,2025
APT3,Hidden Window,2019
Ke3chang,NTDS,2022
Scattered Spider,Exfiltration to Cloud Storage,2024
BlackByte,System Network Configuration Discovery,2024
BlackByte,System Language Discovery,2024
APT-C-36,Match Legitimate Resource Name or Location,2026
APT29,External Remote Services,2021
Kimsuky,Malware,2022
Inception,Process Discovery,2020
