APT_Group,Technique,Year
Mustang Panda,Exfiltration Over Unencrypted Non-C2 Protocol,2025
APT37,Windows Command Shell,2018
APT29,Windows Management Instrumentation,2017
APT33,Password Spraying,2019
WIRTE,Windows Command Shell,2026
Andariel,Spearphishing Attachment,2021
PROMETHIUM,Malicious File,2020
APT5,Process Injection,2024
PLATINUM,Drive-by Compromise,2018
Darkhotel,System Information Discovery,2019
Ember Bear,Exploitation for Client Execution,2024
TA2541,Encrypted/Encoded File,2023
Dragonfly,File and Directory Discovery,2021
Storm-1811,Encrypted/Encoded File,2025
Ke3chang,Web Protocols,2018
Sidewinder,Dynamic Data Exchange,2021
Turla,Security Software Discovery,2020
LAPSUS$,Messaging Applications,2022
Agrius,Remote System Discovery,2024
APT39,SSH,2019
FIN7,Hidden Files and Directories,2025
Threat Group-3390,Upload Malware,2022
Sandworm Team,Server,2024
Stealth Falcon,System Information Discovery,2017
Ember Bear,File Deletion,2024
APT-C-36,Process Hollowing,2026
HEXANE,Ingress Tool Transfer,2022
APT28,Rundll32,2017
Silent Librarian,Employee Names,2021
BITTER,Exploitation for Client Execution,2022
APT41,Windows Management Instrumentation,2019
TA2541,Process Injection,2023
Rocke,Disable or Modify System Firewall,2020
Ke3chang,Remote System Discovery,2018
WIRTE,Upload Malware,2026
APT29,Password Guessing,2023
DarkHydrus,Spearphishing Attachment,2018
Threat Group-3390,Automated Collection,2017
WIRTE,Impersonation,2026
APT32,Rename Legitimate Utilities,2020
Scattered Spider,External Remote Services,2023
Mustang Panda,Double File Extension,2021
Kimsuky,Email Forwarding Rule,2020
FIN6,Web Service,2019
TA551,Domain Generation Algorithms,2021
TA578,Web Services,2024
Agrius,Lateral Tool Transfer,2024
Metador,Ingress Tool Transfer,2023
Sandworm Team,Steal Web Session Cookie,2024
VOID MANTICORE,Gather Victim Identity Information,2026
Lazarus Group,Registry Run Keys / Startup Folder,2017
EXOTIC LILY,Social Media Accounts,2022
FIN4,Remote Email Collection,2019
HAFNIUM,Cloud Accounts,2025
APT32,Query Registry,2019
Scattered Spider,Multi-Factor Authentication,2024
APT32,SMB/Windows Admin Shares,2019
APT33,LSASS Memory,2019
FIN7,Data from Local System,2021
Medusa Group,Native API,2025
APT28,Steal Application Access Token,2019
FIN7,Application Shimming,2017
Patchwork,Data from Local System,2017
Magic Hound,Internet Connection Discovery,2023
Gamaredon Group,Modify Registry,2020
Rocke,Application Layer Protocol,2020
Leviathan,Drive-by Compromise,2021
Magic Hound,Hidden Window,2019
Medusa Group,Exfiltration to Cloud Storage,2025
Tropic Trooper,Web Protocols,2020
Medusa Group,Local Account,2025
Malteiro,Financial Theft,2024
Higaisa,Local Storage Discovery,2025
Tropic Trooper,Automated Collection,2020
Turla,Proxy,2019
Turla,Code Signing Policy Modification,2021
Ke3chang,Right-to-Left Override,2019
BRONZE BUTLER,Registry Run Keys / Startup Folder,2018
Moonstone Sleet,Social Media Accounts,2024
Gorgon Group,Registry Run Keys / Startup Folder,2018
GALLIUM,Domain Account,2019
Mofang,Spearphishing Link,2020
FIN7,Exploit Public-Facing Application,2023
APT32,Ingress Tool Transfer,2018
APT19,System Information Discovery,2018
Wizard Spider,Code Signing,2020
LazyScripter,JavaScript,2021
Kimsuky,Local Storage Discovery,2025
APT29,Cloud Accounts,2023
CURIUM,Domains,2024
Fox Kitten,Windows Command Shell,2020
APT42,Input Capture,2025
Silent Librarian,Domains,2021
Medusa Group,PowerShell,2025
Aquatic Panda,Command Obfuscation,2022
FIN13,Data Manipulation,2023
Chimera,Local Storage Discovery,2021
Evilnum,Spearphishing Link,2021
APT1,Archive via Utility,2017
Leviathan,Encrypted/Encoded File,2018
APT39,Service Execution,2020
Confucius,Web Protocols,2021
Daggerfly,Code Signing Certificates,2024
FIN7,Junk Code Insertion,2023
APT1,System Service Discovery,2019
Wizard Spider,Spearphishing Link,2020
Ember Bear,Disk Structure Wipe,2024
Volatile Cedar,Web Shell,2021
TA505,Web Protocols,2020
Velvet Ant,Local Accounts,2025
Stealth Falcon,Data from Local System,2017
Volatile Cedar,Wordlist Scanning,2022
Lazarus Group,Visual Basic,2022
Axiom,Phishing,2022
Elderwood,Malicious File,2018
ToddyCat,Windows Command Shell,2024
Gamaredon Group,Windows Management Instrumentation,2022
Gamaredon Group,Security Software Discovery,2025
APT3,Masquerade Account Name,2024
APT28,Local Data Staging,2017
BRONZE BUTLER,Match Legitimate Resource Name or Location,2018
Winter Vivern,System Owner/User Discovery,2024
BlackByte,Domain Accounts,2024
OilRig,Exfiltration Over Unencrypted Non-C2 Protocol,2018
Transparent Tribe,Exploitation for Client Execution,2021
Ke3chang,Domain Groups,2017
Medusa Group,Ingress Tool Transfer,2025
Kimsuky,Social Media,2021
Leviathan,PowerShell,2018
Leviathan,Email Accounts,2021
Sandworm Team,Domain Properties,2020
BackdoorDiplomacy,DLL,2021
Dark Caracal,Spearphishing via Service,2018
Velvet Ant,Asymmetric Cryptography,2025
APT41,Network Share Discovery,2019
ToddyCat,Archive via Utility,2024
TA2541,Ingress Tool Transfer,2023
Windshift,Process Discovery,2021
APT28,Logon Script (Windows),2018
Medusa Group,Lateral Tool Transfer,2025
Nomadic Octopus,Hidden Window,2021
Threat Group-3390,Tool,2021
Magic Hound,Default Accounts,2023
EXOTIC LILY,Email Accounts,2022
Kimsuky,Rundll32,2022
APT32,Domains,2020
BRONZE BUTLER,Standard Encoding,2018
APT41,Windows Command Shell,2019
Lazarus Group,Tool,2022
Kimsuky,Credentials from Web Browsers,2019
VOID MANTICORE,Software Deployment Tools,2026
APT41,SMB/Windows Admin Shares,2020
Higaisa,Internal Proxy,2021
Threat Group-3390,Remote System Discovery,2018
APT37,Steganography,2020
PROMETHIUM,Match Legitimate Resource Name or Location,2020
BackdoorDiplomacy,Masquerade Task or Service,2021
Dark Caracal,Compiled HTML File,2018
APT41,BITS Jobs,2020
TA505,Deobfuscate/Decode Files or Information,2022
Contagious Interview,Malware,2025
MoustachedBouncer,Exploitation for Privilege Escalation,2023
SideCopy,System Information Discovery,2022
APT19,Encrypted/Encoded File,2018
Mustang Panda,Remote System Discovery,2025
