technique,threat_score,defence_score,gap_score,priority,total_groups,has_defence,available_defences,is_emerging,convergence_alerts
Wi-Fi Discovery,0.005,0.0,0.005,Low,1,False,No mapped defence,False,0
Asymmetric Cryptography,0.202,0.667,0.003,Low,11,True,Network Intrusion Prevention | SSL/TLS Inspection,True,5
Credentials In Files,0.299,1.0,-0.001,Low,14,True,Audit | Password Policies | Restrict File and Directory Permissions | User Training,True,6
Ingress Tool Transfer,0.197,0.667,-0.003,Low,86,True,Filter Network Traffic | Network Intrusion Prevention,False,9
Email Account,-0.004,0.0,-0.004,Low,4,False,No mapped defence,False,1
Encrypted/Encoded File,0.193,0.667,-0.007,Low,40,True,Antivirus/Antimalware | Behavior Prevention on Endpoint,False,10
Software Discovery,-0.007,0.0,-0.007,Low,11,False,No mapped defence,False,3
Fast Flux DNS,-0.01,0.0,-0.01,Low,3,False,No mapped defence,False,0
System Shutdown/Reboot,-0.012,0.0,-0.012,Low,4,False,No mapped defence,False,1
Web Shell,0.18,0.667,-0.02,Low,31,True,Disable or Remove Feature or Program | User Account Management,False,8
Right-to-Left Override,-0.022,0.0,-0.022,Low,5,False,No mapped defence,False,2
Standard Encoding,0.076,0.333,-0.024,Low,11,True,Network Intrusion Prevention,False,4
Vulnerability Scanning,0.076,0.333,-0.024,Low,14,True,Pre-compromise,False,4
Process Hollowing,0.075,0.333,-0.025,Low,8,True,Behavior Prevention on Endpoint,False,3
Search Victim-Owned Websites,0.068,0.333,-0.032,Low,6,True,Pre-compromise,False,3
Symmetric Cryptography,0.068,0.333,-0.032,Low,14,True,Network Intrusion Prevention,False,7
Dynamic-link Library Injection,0.067,0.333,-0.033,Low,10,True,Behavior Prevention on Endpoint,False,4
RC Scripts,0.067,0.333,-0.033,Low,3,True,Restrict File and Directory Permissions,False,1
Social Media Accounts,0.066,0.333,-0.034,Low,18,True,Pre-compromise,False,6
Internal Proxy,0.061,0.333,-0.039,Low,9,True,Network Intrusion Prevention,False,4
