technique,first_seen,last_seen,lifespan_years,active_years,total_groups,persistence_score,status
Indirect Command Execution,2022,2024,2,2,2,0.26,Active
Multi-Stage Channels,2017,2022,5,4,4,0.26,Retired
System Binary Proxy Execution,2022,2024,2,2,2,0.26,Active
System Location Discovery,2022,2024,2,2,2,0.26,Active
User Execution,2022,2024,2,2,2,0.26,Active
Wordlist Scanning,2022,2024,2,2,2,0.26,Active
Compiled HTML File,2018,2022,4,3,5,0.235,Retired
Multi-Factor Authentication Request Generation,2022,2023,1,2,3,0.235,Active
Remote Services,2023,2024,1,2,3,0.235,Active
Make and Impersonate Token,2023,2024,1,2,2,0.22,Active
Accessibility Features,2017,2020,3,4,6,0.21,Retired
Supply Chain Compromise,2024,2024,0,1,3,0.195,Active
Token Impersonation/Theft,2017,2021,4,2,2,0.19,Retired
Direct Volume Access,2024,2024,0,1,2,0.18,Active
Scan Databases,2024,2024,0,1,2,0.18,Active
AutoHotKey & AutoIT,2024,2024,0,1,1,0.165,Active
Backup Software Discovery,2023,2023,0,1,1,0.165,Active
Chat Messages,2023,2023,0,1,1,0.165,Active
Cloud Service Dashboard,2024,2024,0,1,1,0.165,Active
Content Injection,2023,2023,0,1,1,0.165,Active
Data Manipulation,2023,2023,0,1,1,0.165,Active
Data Obfuscation,2024,2024,0,1,1,0.165,Active
Determine Physical Locations,2023,2023,0,1,1,0.165,Active
Device Registration,2023,2023,0,1,1,0.165,Active
Disable or Modify Cloud Log,2024,2024,0,1,1,0.165,Active
Evil Twin,2024,2024,0,1,1,0.165,Active
File/Path Exclusions,2024,2024,0,1,1,0.165,Active
Gather Victim Host Information,2024,2024,0,1,1,0.165,Active
Install Digital Certificate,2024,2024,0,1,1,0.165,Active
Malvertising,2023,2023,0,1,1,0.165,Active
Modify Authentication Process,2023,2023,0,1,1,0.165,Active
Multi-Factor Authentication,2024,2024,0,1,1,0.165,Active
Network Boundary Bridging,2024,2024,0,1,1,0.165,Active
Network Security Appliances,2024,2024,0,1,1,0.165,Active
Password Policy Discovery,2018,2021,3,3,3,0.165,Retired
SEO Poisoning,2023,2023,0,1,1,0.165,Active
Steal or Forge Kerberos Tickets,2024,2024,0,1,1,0.165,Active
Unsecured Credentials,2024,2024,0,1,1,0.165,Active
Web Session Cookie,2024,2024,0,1,1,0.165,Active
Wi-Fi Discovery,2023,2023,0,1,1,0.165,Active
Right-to-Left Override,2019,2021,2,3,5,0.155,Retired
Forced Authentication,2018,2021,3,2,2,0.15,Retired
XSL Script Processing,2018,2021,3,2,2,0.15,Retired
Compute Hijacking,2019,2021,2,3,4,0.14,Retired
VNC,2020,2022,2,3,4,0.14,Retired
Bootkit,2017,2019,2,2,3,0.125,Retired
Business Relationships,2020,2022,2,3,3,0.125,Retired
Employee Names,2020,2022,2,3,3,0.125,Retired
Linux and Mac Permissions,2019,2021,2,3,3,0.125,Retired
Pass the Ticket,2017,2019,2,3,3,0.125,Retired
Winlogon Helper DLL,2018,2020,2,3,3,0.125,Retired
Credentials,2021,2022,1,2,5,0.115,Retired
Create Process with Token,2017,2019,2,2,2,0.11,Retired
Domain Generation Algorithms,2019,2021,2,2,2,0.11,Retired
Invalid Code Signature,2018,2020,2,2,2,0.11,Retired
Name Resolution Poisoning and SMB Relay,2020,2022,2,2,2,0.11,Retired
Portable Executable Injection,2018,2020,2,2,2,0.11,Retired
User Activity Based Checks,2019,2021,2,2,2,0.11,Retired
Shortcut Modification,2018,2019,1,2,4,0.1,Retired
At,2017,2018,1,2,3,0.085,Retired
Environmental Keying,2019,2020,1,2,2,0.07,Retired
Exfiltration over USB,2020,2021,1,2,2,0.07,Retired
Hidden Users,2021,2022,1,2,2,0.07,Retired
InstallUtil,2020,2021,1,2,2,0.07,Retired
Logon Script (Windows),2018,2019,1,2,2,0.07,Retired
Office Application Startup,2019,2020,1,2,2,0.07,Retired
Cached Domain Credentials,2020,2020,0,1,4,0.06,Retired
Archive via Library,2017,2017,0,1,2,0.03,Retired
CMSTP,2018,2018,0,1,2,0.03,Retired
Code Signing Policy Modification,2021,2021,0,1,2,0.03,Retired
Hidden File System,2020,2020,0,1,2,0.03,Retired
Add-ins,2020,2020,0,1,1,0.015,Retired
AppInit DLLs,2021,2021,0,1,1,0.015,Retired
Application Shimming,2017,2017,0,1,1,0.015,Retired
Asynchronous Procedure Call,2021,2021,0,1,1,0.015,Retired
Browser Extensions,2019,2019,0,1,1,0.015,Retired
COR_PROFILER,2020,2020,0,1,1,0.015,Retired
Change Default File Association,2019,2019,0,1,1,0.015,Retired
Client Configurations,2021,2021,0,1,1,0.015,Retired
Cloud Instance Metadata API,2021,2021,0,1,1,0.015,Retired
Communication Through Removable Media,2017,2017,0,1,1,0.015,Retired
Component Firmware,2019,2019,0,1,1,0.015,Retired
Component Object Model Hijacking,2017,2017,0,1,1,0.015,Retired
Confluence,2022,2022,0,1,1,0.015,Retired
Container Administration Command,2021,2021,0,1,1,0.015,Retired
Container and Resource Discovery,2021,2021,0,1,1,0.015,Retired
Credential API Hooking,2018,2018,0,1,1,0.015,Retired
DNS Calculation,2020,2020,0,1,1,0.015,Retired
Data from Information Repositories,2021,2021,0,1,1,0.015,Retired
Deploy Container,2021,2021,0,1,1,0.015,Retired
Domain Controller Authentication,2020,2020,0,1,1,0.015,Retired
Domain Fronting,2018,2018,0,1,1,0.015,Retired
Domain Properties,2020,2020,0,1,1,0.015,Retired
Endpoint Denial of Service,2020,2020,0,1,1,0.015,Retired
Escape to Host,2021,2021,0,1,1,0.015,Retired
Golden Ticket,2018,2018,0,1,1,0.015,Retired
Group Policy Discovery,2021,2021,0,1,1,0.015,Retired
HTML Smuggling,2022,2022,0,1,1,0.015,Retired
Hardware Additions,2020,2020,0,1,1,0.015,Retired
Hybrid Identity,2022,2022,0,1,1,0.015,Retired
Junk Data,2017,2017,0,1,1,0.015,Retired
KernelCallbackTable,2022,2022,0,1,1,0.015,Retired
Malicious Image,2021,2021,0,1,1,0.015,Retired
NTFS File Attributes,2019,2019,0,1,1,0.015,Retired
Network Denial of Service,2020,2020,0,1,1,0.015,Retired
Network Share Connection Removal,2017,2017,0,1,1,0.015,Retired
Odbcconf,2019,2019,0,1,1,0.015,Retired
Office Template Macros,2020,2020,0,1,1,0.015,Retired
Office Test,2017,2017,0,1,1,0.015,Retired
Outlook Home Page,2020,2020,0,1,1,0.015,Retired
PowerShell Profile,2019,2019,0,1,1,0.015,Retired
Print Processors,2022,2022,0,1,1,0.015,Retired
Process Doppelgänging,2020,2020,0,1,1,0.015,Retired
PubPrn,2018,2018,0,1,1,0.015,Retired
Purchase Technical Data,2022,2022,0,1,1,0.015,Retired
